Plot,Sub_Plot,Tree_Tag,X_Coordinate,Y_Coordinate,Local_Name,Genus,Species,DBH_inch,DBH_cm,POM_m,Height_m,North,East,Elevation_m
11,5,8515,4.65,2.5,Thintwelnyo,Diospyros,mollis,Griff.,9.7,1.3,13,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,6,8516,0.25,0.9,Tawthidin,Mallotus,philippinensis,Lam.,5.3,1.3,7,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,7,8517,1.75,1,Aonetone,Litsea,glutinosa,(Lour.)C.B. Rob.,8.14,1.3,11,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,7,8518,1.85,0.8,Aonetone,Litsea,glutinosa,(Lour.)C.B. Rob.,7.97,1.3,11,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,7,8520,3,3.45,Kyattatt,Combretum,apetalum,Wall.,5.27,1.3,7,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,7,8519,2.55,4.45,Thintwelnyo,Diospyros,mollis,Griff.,10.38,1.3,14,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,8,8521,4.9,4.6,Aonetone,Litsea,glutinosa,(Lour.)C.B. Rob.,8.2,1.3,14,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,8,8522,4.15,1.9,Kyattatt,Combretum,apetalum,Wall.,4.36,1.3,6.45,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,8,8523,4.15,2,Kyattatt,Combretum,apetalum,Wall.,6.34,1.3,6.5,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,9,8524,3.7,3.6,Yindike,Dalvergia,cultiata,Grah.,4.31,1.3,8.7,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,10,8525,0.75,3,Tamalan,Dalvergia,oliveri,Gamble.,12,1.3,14.1,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,10,8526,2.7,2.8,Thintwelnyo,Diospyros,mollis,Griff.,4.41,1.3,6,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,10,8527,4.6,2.45,Thintwelnyo,Diospyros,mollis,Griff.,8.8,1.3,14,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,11,8528,0.8,2,Kyattatt,Combretum,apetalum,Wall.,6.59,1.3,7,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,11,8529,0.7,2,Kyattatt,Combretum,apetalum,Wall.,4.57,1.3,9.6,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,12,8530,2.7,4.3,Oakshit,Aegle,marmelos,(L.)Correa,5.82,1.3,9,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,12,8531,3.25,0.9,Tawthidin,Mallotus,philippinensis,Lam.,5.03,1.3,8,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,13,8534,3.25,0.9,Aonetone,Litsea,glutinosa,(Lour.)C.B. Rob.,5.2,1.3,11,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,13,8532,4.6,4.5,Naywel,Flacourtia,indica,(Burm.F.)Merr,11.87,1.3,12,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,13,8533,2.7,2.45,Thayetcho,Sideroxylon,burmanicum,Collett&Hemsl.,4.84,1.3,9.2,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,14,8535,4.6,1.5,Yone,Anogeissus,acuminate,Wall.,5.94,1.3,9,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,15,8538,3.15,1.4,Thanthay,Stereospermum,neuranthum,Kurz.,5.4,1.3,12,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,15,8537,2.4,4.5,Thintwelnyo,Diospyros,mollis,Griff.,5.15,1.3,13.5,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,15,8536,2.25,0.7,Yindike,Dalvergia,cultiata,Grah.,6,1.3,10.6,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,16,8539,2.4,2,Thintwelnyo,Diospyros,mollis,Griff.,11.75,1.3,14,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,16,8540,2.65,1.9,Thintwelnyo,Diospyros,mollis,Griff.,13.6,1.3,16,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
11,13,3496,0.25,3,Kyattatt,Combretum,apetalum,5,12.7,1.3,8.2,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
11,13,3497,3.1,4.75,Yone,Anogeissus,acuminate,7.2,18.3,1.3,12.6,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
11,14,3498,4.4,2,Tayaw,Grewia,tiliifolia,5.7,14.5,1.3,12,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
11,15,3499,2.45,3.9,Yone,Anogeissus,acuminate,12,30.5,1.3,21,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
11,15,3500,2.4,2.9,Yuzana,Murraya,paniculata,5.08,12.9,1.3,7.4,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
11,16,3602,3.2,3.05,Naywel,Flacourtia,indica,7.85,19.9,1.3,10,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
11,16,3601,3.3,4.5,Yamane,Gmelina,arborea,13,33,1.3,17.2,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
11,16,3603,3.35,1.5,Zeebyu,Phyllanthus,emblica,4.15,10.5,1.5,5.2,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,1,3478,4.6,0.8,Thintwelnyo,Diospyros,mollis,Griff.,15.34,1.3,17,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,1,3477,0.5,2.05,Thitsaint,Terminalia,bellirica,(Gaerth.)Roxb.,13.44,1.3,17,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,2,3480,4.65,3.5,Kyunkhauknwe,Vitex,limonifolia,Wall.,6.5,1.3,15,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,2,3481,4.7,0.9,Thintwelnyo,Diospyros,mollis,Griff.,9.9,1.3,7.2,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,2,3479,3.7,3.65,Yone,Anogeissus,acuminate,Wall.,7.88,1.3,15,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,3,3483,3.1,4.75,Kyunkhauknwe,Vitex,limonifolia,Wall.,5.68,1.5,11,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,3,3482,1.9,2.25,Yone,Anogeissus,acuminate,Wall.,8.5,1.3,12.5,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,4,3484,4.55,0.7,Tawthidin,Mallotus,philippinensis,Lam.,11.7,2,15,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,5,3485,0.2,4.25,Kyattatt,Combretum,apetalum,Wall.,4.45,1.3,10,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,5,3486,3.15,0.75,Naywel,Flacourtia,indica,(Burm.F.)Merr,7.7,1.3,16,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,6,3487,0.65,1.9,Naywel,Flacourtia,indica,(Burm.F.)Merr,4.44,1.3,8.7,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,6,3489,3.4,1.85,Tayaw,Grewia,tiliifolia,Vahl,14.1,1.3,12.3,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,6,3488,0.45,4.6,Yone,Anogeissus,acuminate,Wall.,11.1,1.3,16.5,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,9,3490,2.45,2.95,Zeebyu,Phyllanthus,emblica,L.,4.45,1.3,10.1,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,10,3493,3.9,3,Kyattatt,Combretum,apetalum,Wall.,7.05,1.3,10,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,10,3491,1.6,0.3,Yone,Anogeissus,acuminate,Wall.,7.07,1.3,12,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,10,3492,1.55,3,Yone,Anogeissus,acuminate,Wall.,10.7,1.3,20.5,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,11,3494,2.85,2.35,Thintwelnyo,Diospyros,mollis,Griff.,11.9,1.3,14.1,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,11,3495,4.75,3.8,Thitsaint,Terminalia,bellirica,(Gaerth.)Roxb.,8.67,1.3,18.7,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,13,3496,0.25,3,Kyattatt,Combretum,apetalum,Wall.,5,1.3,8.2,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,13,3497,3.1,4.75,Yone,Anogeissus,acuminate,Wall.,7.2,1.3,12.6,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,14,3498,4.4,2,Tayaw,Grewia,tiliifolia,Vahl,5.7,1.3,12,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,15,3499,2.45,3.9,Yone,Anogeissus,acuminate,Wall.,12,1.3,21,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,15,3500,2.4,2.9,Yuzana,Murraya,paniculata,(L.)Jack,5.08,1.3,7.4,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,16,3602,3.2,3.05,Naywel,Flacourtia,indica,(Burm.F.)Merr,7.85,1.3,10,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,16,3601,3.3,4.5,Yamane,Gmelina,arborea,Roxb.,13,1.3,17.2,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
12,16,3603,3.35,1.5,Zeebyu,Phyllanthus,emblica,L.,4.15,1.5,5.2,"20° 54' 14.84"" N","95° 14' 18.35"" E",791.11
13,1,8506,1.7,2,Kyattatt,Combretum,apetalum,5.4,13.7,1.3,9,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,1,8505,1.7,0.9,Yindike,Dalvergia,cultiata,7.92,20.1,1.3,11,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,1,8507,2.5,1.5,Yindike,Dalvergia,cultiata,7.8,19.8,1.3,13,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,1,8508,2.5,1.65,Yindike,Dalvergia,cultiata,7.24,18.4,1.3,13,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,2,8509,2,3.4,Thintwelnyo,Diospyros,mollis,11.95,30.4,1.3,16,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,3,8510,0.5,3,Thintwelnyo,Diospyros,mollis,9.55,24.3,1.3,13,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,3,8511,0.5,3.3,Thintwelnyo,Diospyros,mollis,7.1,18,1.3,13,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,4,8513,1.4,4.4,Tawthidin,Mallotus,philippinensis,6.62,16.8,1.3,12,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,4,8512,1.9,2,Thintwelnyo,Diospyros,mollis,6.5,16.5,1.3,11.2,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,5,8514,2.5,4.1,Thintwelnyo,Diospyros,mollis,10.74,27.3,1.3,14.1,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,5,8515,4.65,2.5,Thintwelnyo,Diospyros,mollis,9.7,24.6,1.3,13,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,6,8516,0.25,0.9,Tawthidin,Mallotus,philippinensis,5.3,13.5,1.3,7,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,7,8517,1.75,1,Aonetone,Litsea,glutinosa,8.14,20.7,1.3,11,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,7,8518,1.85,0.8,Aonetone,Litsea,glutinosa,7.97,20.2,1.3,11,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,7,8520,3,3.45,Kyattatt,Combretum,apetalum,5.27,13.4,1.3,7,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,7,8519,2.55,4.45,Thintwelnyo,Diospyros,mollis,10.38,26.4,1.3,14,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,8,8521,4.9,4.6,Aonetone,Litsea,glutinosa,8.2,20.8,1.3,14,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,8,8522,4.15,1.9,Kyattatt,Combretum,apetalum,4.36,11.1,1.3,6.45,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,8,8523,4.15,2,Kyattatt,Combretum,apetalum,6.34,16.1,1.3,6.5,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
13,9,8524,3.7,3.6,Yindike,Dalvergia,cultiata,4.31,10.9,1.3,8.7,"20° 54' 12.94"" N","95° 14' 13.97"" E",780.94
